website	OnLoad	DomContentLoaded	FirstPaint
Deviantart.com	120232	57112	4877.7
Office.com	2122	1090	988.6
Stackoverflow.com	3353	1258	1119.3
Roblox.com	12988	2246	1617.2
Mayoclinic.org	4704	1750	1754.5
Marketwatch.com	12529	7384	7231.7
Reverso.net	2732	1759	1615.7
Huffingtonpost.com	23970	5383	4907.0
Tripadvisor.com	10909	6912	6723.0
archive.org	8527	5843	5851.6
Zillow.com	16854	16189	192.4
Researchgate.net	6562	4658	4665.3
Ebay.com	15831	9701	1860.1
Ancestry.com	5256	4740	729.4
strava.com	9281	5948	1520.2
Discovery.com	28768	8028	7166.5
Fcc.gov	11930	1668	1203.0
Prometric.com	6526	5690	2509.5
Websudoku.com	2274	162	165.5
Labcorp.com	2623	1851	1277.0
Eia.gov	22187	3810	3814.5
Almanac.com	9106	4683	2460.8
Syracuse.com	14181	10748	2986.0
Vacationstogo.com	3316	2824	408.6
Superpages.com	6341	3804	2020.6
Capella.edu	8050	7462	2774.8
Geology.com	7915	5975	330.7
Pokemoncenter.com	13527	12649	12544.9
Medicare.gov	9878	4100	4106.5
Wtatennis.com	26898	18621	1287.3
Papermag.com	8094	3225	1891.9
Gs1.org	7047	2309	2330.4
Nips.cc	2854	2300	2315.4
Crosswordtracker.com	1021	547	380.2
Radiologyinfo.org	10879	406	363.9
Energystar.gov	11326	7846	1976.7
Supercoloring.com	22647	20591	8248.2
Dowjones.com	33212	8318	3289.5
Liveatc.net	2890	2461	679.0
Toolbox.com	12869	5002	4854.1
Nysparks.com	94753	4198	1144.4
Math.com	5707	717	200.6
Bebe.com	16341	13714	198.6
Worldwildlife.org	9490	4031	188.2
Usaswimming.org	12016	7286	7165.5
