website	OnLoad	DomContentLoaded	FirstPaint
Deviantart.com	125900	104573	4856.2
Office.com	2136	1310	568.4
Stackoverflow.com	3288	1446	1286.3
Roblox.com	13597	1646	659.7
Mayoclinic.org	4649	1344	1371.1
Marketwatch.com	12717	7301	7255.9
Reverso.net	2884	1515	1369.8
Huffingtonpost.com	15127	5529	4764.7
Tripadvisor.com	10722	6340	1032.4
archive.org	8529	5667	5675.2
Zillow.com	16974	15697	191.6
Researchgate.net	6548	4652	4719.1
Ebay.com	13271	9417	1506.3
Ancestry.com	5215	4765	672.3
strava.com	17192	5255	2174.3
Discovery.com	29279	7946	7195.7
Fcc.gov	11736	1309	1011.7
Prometric.com	6816	4708	1854.5
Websudoku.com	2608	163	184.7
Labcorp.com	2343	1570	910.9
Eia.gov	21559	1920	1802.5
Almanac.com	8994	6342	2488.3
Syracuse.com	14104	10570	2808.0
Vacationstogo.com	3122	779	430.3
Superpages.com	8032	1585	537.8
Capella.edu	8757	7939	3368.5
Geology.com	7918	5409	367.4
Pokemoncenter.com	13041	12385	12279.1
Medicare.gov	10196	2935	2886.9
Wtatennis.com	25945	17865	1181.3
Papermag.com	37285	1884	907.1
Gs1.org	7286	2611	2634.8
Nips.cc	2631	917	933.4
Crosswordtracker.com	796	419	282.3
Radiologyinfo.org	10704	530	396.2
Energystar.gov	11452	10129	1956.1
Supercoloring.com	23891	21393	8163.5
Dowjones.com	33043	6077	1500.5
Liveatc.net	2627	2202	778.1
Toolbox.com	12825	4596	4443.5
Nysparks.com	94520	1817	1339.3
Math.com	3217	587	223.5
Bebe.com	13678	11365	193.8
Worldwildlife.org	17404	1797	188.9
Usaswimming.org	10173	4797	938.1
