website	OnLoad	DomContentLoaded	FirstPaint
Deviantart.com	121800	10280	7046.0
Office.com	2286	773	526.1
Stackoverflow.com	3264	2011	1839.0
Roblox.com	13538	5187	5191.0
Mayoclinic.org	4740	4079	3714.5
Marketwatch.com	14226	9180	9124.7
Reverso.net	3121	2262	1418.0
Huffingtonpost.com	14773	7281	6739.1
Tripadvisor.com	12734	10697	8776.2
archive.org	8831	6186	6073.1
Zillow.com	17704	16745	229.8
Researchgate.net	8821	7185	7187.5
Ebay.com	14401	2295	1647.6
Ancestry.com	5570	5109	1747.0
strava.com	9930	5268	1623.9
Discovery.com	29622	26900	26265.2
Fcc.gov	12312	1417	1196.2
Prometric.com	7407	6294	6094.0
Websudoku.com	2444	161	182.5
Labcorp.com	2643	1869	1307.3
Eia.gov	23817	4876	4803.9
Almanac.com	9077	4917	4780.6
Syracuse.com	14199	9714	9154.9
Vacationstogo.com	3115	408	423.5
Superpages.com	6242	3820	3835.0
Capella.edu	7865	7416	2743.3
Geology.com	7923	1434	317.6
Pokemoncenter.com	13709	12891	12789.8
Medicare.gov	11658	10952	10992.5
Wtatennis.com	26495	10484	10193.9
Papermag.com	37698	6786	4817.0
Gs1.org	7587	2311	2331.3
Nips.cc	2844	2291	2298.7
Crosswordtracker.com	950	397	398.2
Radiologyinfo.org	10882	421	388.4
Energystar.gov	11833	2439	2445.3
Supercoloring.com	21675	19700	6332.2
Dowjones.com	32959	30628	28862.5
Liveatc.net	3488	3050	765.4
Toolbox.com	11809	5042	4878.6
Nysparks.com	94823	13599	2139.4
Math.com	7583	587	198.3
Bebe.com	16386	14546	235.2
Worldwildlife.org	9210	4556	169.6
Usaswimming.org	14404	9705	9584.7
