website	OnLoad	DomContentLoaded	FirstPaint
Deviantart.com	120190	10076	6965.9
Office.com	2119	1092	872.8
Stackoverflow.com	3366	1282	1173.2
Roblox.com	10550	4669	4320.5
Mayoclinic.org	4701	2236	1827.9
Marketwatch.com	12352	7490	7457.8
Reverso.net	2862	1910	1458.6
Huffingtonpost.com	17373	5997	3521.3
Tripadvisor.com	10452	8487	3057.4
archive.org	8504	5821	5708.6
Zillow.com	16310	15823	192.8
Researchgate.net	7135	4805	1588.6
Ebay.com	10563	9996	2566.0
Ancestry.com	5027	4728	1115.5
strava.com	9209	6231	1616.4
Discovery.com	29117	23075	22656.8
Fcc.gov	11832	1839	1206.2
Prometric.com	6502	5541	2669.4
Websudoku.com	2629	162	181.3
Labcorp.com	2609	1834	1244.5
Eia.gov	8782	2436	2437.9
Almanac.com	8682	5041	3717.8
Syracuse.com	14015	8438	5107.3
Vacationstogo.com	3120	1290	396.8
Superpages.com	6243	2938	1503.6
Capella.edu	9167	8637	4516.9
Geology.com	7837	4940	327.2
Pokemoncenter.com	13278	12521	12411.1
Medicare.gov	10249	9408	9413.1
Wtatennis.com	21438	20527	4502.8
Papermag.com	9822	7692	6179.5
Gs1.org	7584	2316	2337.9
Nips.cc	2839	2278	2296.4
Crosswordtracker.com	952	413	278.1
Radiologyinfo.org	10878	2496	365.8
Energystar.gov	11464	9794	2379.0
Supercoloring.com	21560	19540	8410.8
Dowjones.com	32681	6170	1906.8
Liveatc.net	673	625	195.3
Toolbox.com	12093	4766	4626.7
Nysparks.com	94106	2284	1366.4
Math.com	4407	718	189.3
Bebe.com	14317	11916	195.9
Worldwildlife.org	9486	4032	189.3
Usaswimming.org	9744	6733	2173.1
